date,time,signal,contracts,option_price,strike,right,confidence,spy_price_at_entry,stop_loss_price,profit_target_price,exit_price,exit_reason,pnl,return_pct,cumulative_pnl,win,trade_number
2024-07-17,21:47:36,BUY_CALL,4,1.66,585.0,C,0.6,589.3217624491036,0.83,3.32,0.83,STOP_LOSS,-332.0,-50.0,-5371.073627399555,False,15
2024-07-17,21:47:36,BUY_PUT,2,2.57,585.0,P,0.5,582.9946723966125,1.285,5.14,4.335115075239458,EOD_EXPIRATION,353.0230150478917,68.68152043733302,-5018.050612351663,True,16
2024-07-17,21:47:36,BUY_PUT,3,2.82,590.0,P,0.5,590.6788681610826,1.41,5.64,4.892409065205619,EOD_EXPIRATION,621.722719561686,73.48968316331984,-4396.327892789977,True,17
2024-07-17,21:47:36,BUY_CALL,2,2.56,580.0,C,0.6666666666666666,582.1137919612554,1.28,5.12,0.015853049048141905,EOD_EXPIRATION,-508.8293901903716,-99.38074027155696,-4905.157282980349,False,18
2024-07-17,21:47:36,BUY_PUT,8,0.73,595.0,P,0.6,589.5010243149655,0.365,1.46,0.8849205497705454,EOD_EXPIRATION,123.93643981643629,21.22199311925279,-4781.220843163913,True,19
2024-07-17,21:47:36,BUY_CALL,9,0.69,590.0,C,0.5666666666666668,589.9117124085464,0.345,1.38,0.345,STOP_LOSS,-310.49999999999994,-50.0,-5091.720843163913,False,20
2024-07-17,21:47:36,BUY_PUT,3,2.29,585.0,P,0.5666666666666668,583.8067723498694,1.145,4.58,1.145,STOP_LOSS,-343.5,-50.0,-5435.220843163913,False,21
2024-07-17,21:47:36,BUY_CALL,4,2.71,590.0,C,0.5,588.275452038609,1.355,5.42,5.42,PROFIT_TARGET,1084.0,100.0,-4351.220843163913,True,22
2024-07-17,21:47:36,BUY_PUT,7,0.89,585.0,P,0.7999999999999999,585.343868925441,0.445,1.78,1.78,PROFIT_TARGET,623.0,100.0,-3728.220843163913,True,23
2024-07-18,21:47:36,BUY_PUT,4,1.11,600.0,P,0.5,599.3601641654552,0.555,2.22,0.03290111004621375,EOD_EXPIRATION,-430.83955598151454,-97.03593603187264,-4159.060399145427,False,24
2024-07-18,21:47:36,BUY_PUT,4,2.32,595.0,P,0.5,596.8992654364881,1.16,4.64,0.048873166598292585,EOD_EXPIRATION,-908.450733360683,-97.89339799145291,-5067.51113250611,False,25
2024-07-18,21:47:36,BUY_PUT,4,2.25,600.0,P,0.6333333333333333,597.8253501589387,1.125,4.5,0.026213251531067717,EOD_EXPIRATION,-889.5146993875729,-98.83496659861922,-5957.025831893683,False,26
2024-07-18,21:47:36,BUY_PUT,2,2.73,600.0,P,0.6666666666666666,600.5557237949154,1.365,5.46,1.365,STOP_LOSS,-273.0,-50.0,-6230.025831893683,False,27
2024-07-18,21:47:36,BUY_PUT,6,1.22,610.0,P,0.5,602.7774697505828,0.61,2.44,2.44,PROFIT_TARGET,732.0,100.0,-5498.025831893683,True,28
2024-07-18,21:47:36,BUY_CALL,6,1.29,595.0,C,0.6666666666666666,595.5715623724493,0.645,2.58,1.630465919887771,EOD_EXPIRATION,204.2795519326625,26.392706968044248,-5293.74627996102,True,29
2024-07-18,21:47:36,BUY_PUT,4,1.87,595.0,P,0.6333333333333333,594.8685377014677,0.935,3.74,0.935,STOP_LOSS,-374.0,-50.0,-5667.74627996102,False,30
2024-07-18,21:47:36,BUY_PUT,4,2.32,600.0,P,0.6,592.9739522853909,1.16,4.64,1.16,STOP_LOSS,-463.99999999999994,-50.0,-6131.74627996102,False,31
2024-07-18,21:47:36,BUY_CALL,4,2.51,595.0,C,0.5,594.9593596747992,1.255,5.02,0.06659861817020012,EOD_EXPIRATION,-977.3605527319198,-97.34666859879681,-7109.10683269294,False,32
2024-07-18,21:47:36,BUY_CALL,4,1.79,605.0,C,0.5,602.9798898997001,0.895,3.58,0.06906528456074895,EOD_EXPIRATION,-688.3738861757005,-96.1416042144833,-7797.48071886864,False,33
2024-07-19,21:47:36,BUY_CALL,4,2.1,575.0,C,0.6666666666666666,578.0290550461825,1.05,4.2,0.04213791860228126,EOD_EXPIRATION,-823.1448325590875,-97.99343244751041,-8620.625551427727,False,34
2024-07-19,21:47:36,BUY_CALL,2,2.37,585.0,C,0.7666666666666666,589.0909151122931,1.185,4.74,4.74,PROFIT_TARGET,474.0,100.0,-8146.625551427727,True,35
2024-07-19,21:47:36,BUY_PUT,6,1.89,595.0,P,0.6666666666666666,588.5033601466532,0.945,3.78,3.78,PROFIT_TARGET,1134.0,100.0,-7012.625551427727,True,36
2024-07-19,21:47:36,BUY_PUT,2,2.19,585.0,P,0.5,583.1932140158458,1.095,4.38,1.1064913191869508,EOD_EXPIRATION,-216.70173616260985,-49.47528222890636,-7229.327287590337,False,37
2024-07-19,21:47:36,BUY_CALL,7,0.69,575.0,C,0.5,582.2477749360029,0.345,1.38,1.38,PROFIT_TARGET,483.0,100.0,-6746.327287590337,True,38
2024-07-19,21:47:36,BUY_PUT,6,1.94,585.0,P,0.5666666666666668,583.5480300616065,0.97,3.88,3.88,PROFIT_TARGET,1164.0,100.0,-5582.327287590337,True,39
2024-07-19,21:47:36,BUY_PUT,5,1.77,585.0,P,0.6,583.7214303439102,0.885,3.54,0.016560123932096237,EOD_EXPIRATION,-876.719938033952,-99.06439977784767,-6459.047225624288,False,40
